Date,District,Price,year,month,cpi_monthly_avg,cpi_index,cum_price_level,population,pop_growth_rate,hcm_spatial_cost_index,real_price,population_millions,affordability_index
2017-11-27,District 7,48.38,2017,11,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,48.38,95.176977,48.38
2017-11-28,District 7,48.28,2017,11,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,48.28,95.176977,48.28
2017-11-29,District 7,47.77,2017,11,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,47.77,95.176977,47.77
2017-11-30,District 7,47.37,2017,11,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,47.37,95.176977,47.37
2017-12-01,District 7,51.77,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,51.77,95.176977,51.77
2017-12-04,District 7,49.06,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,49.06,95.176977,49.06
2017-12-05,District 7,53.72,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,53.72,95.176977,53.72
2017-12-06,District 7,51.89,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,51.89,95.176977,51.89
2017-12-07,District 7,51.82,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,51.82,95.176977,51.82
2017-12-08,District 7,52.2,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,52.2,95.176977,52.2
2017-12-11,District 7,52.46,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,52.46,95.176977,52.459999999999994
2017-12-12,District 7,50.0,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,50.0,95.176977,50.0
2017-12-13,District 7,52.49,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,52.49,95.176977,52.49
2017-12-14,District 7,49.76,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,49.76,95.176977,49.76
2017-12-15,District 7,51.33,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,51.33,95.176977,51.33
2017-12-18,District 7,49.16,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,49.16,95.176977,49.16
2017-12-19,District 7,51.22,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,51.22,95.176977,51.22
2017-12-20,District 7,52.51,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,52.51,95.176977,52.51
2017-12-21,District 7,51.93,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,51.93,95.176977,51.93
2017-12-22,District 7,50.85,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,50.85,95.176977,50.85000000000001
2017-12-25,District 7,49.23,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,49.23,95.176977,49.23
2017-12-26,District 7,50.76,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,50.76,95.176977,50.75999999999999
2017-12-27,District 7,50.47,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,50.47,95.176977,50.470000000000006
